實體1,關係,實體2,新實體1,新實體2,新關係
中央,地方關係,分析途徑,中央,分析途徑,related-to
分析途徑,探討,鄉鎮債務,分析途徑,鄉鎮債務,affect
鄉鎮債務,形成,中央大陸,鄉鎮債務,中央大陸,created-by
概念性的解釋架構,指出,政府間財政體系,衝突,互動的關係,related-to
概念性的解釋架構,指出,基層政府治理機制,衝突,體制,related-to
概念性的解釋架構,指出,政策實施模式,衝突,特徵,related-to
政策實施模式,構成,鄉鎮債務,特徵,鄉鎮債務,part-of
政府間財政體系,構成,鄉鎮債務,互動的關係,鄉鎮債務,part-of
基層政府治理機制,構成,鄉鎮債務,體制,鄉鎮債務,part-of
財政收支失衡,面對,政策實施的壓力,財政收支失衡,衝突,affect
政策實施的壓力,面對,舉債,衝突,舉債,affect
舉債,成為,基層鄉鎮政府,舉債,鄉鎮基層政權,is-a
策略行動,成為,必然結果,決定,回應,is-a
中國大陸,呈現,反均等化特徵,中國大陸,特徵,related-to
財政轉移支付制度,呈現,反均等化特徵,剖析,特徵,related-to
中國大陸現行財政轉移支付制度,形成及運作,市場化轉型過程,能力,市場化改革, related-to
中央,採取,改革策略,中央,政策效果,decided-by
改革策略,包含,分權與政府退縮,政策效果,蔡政府執政,include
改革策略,包含,財政制度變遷,政策效果,匯率,include
財政制度變遷,包括,財政包乾制,匯率,財政包乾制,include
財政制度變遷,包括,分稅制,匯率,分稅制,include
中央與地方,作用,結果,規劃,結果,affect
分稅制改革,包含,1979~1993,分稅制改革,1979~1993,include
分稅制改革,包含,1994～迄今,分稅制改革,1994～迄今,include
財政轉移支付,沒有達成,均等化目標,特徵,考量, not-achieved
分稅制改革前,包含,1979~1993,時期,1979~1993,include
分稅制改革後,包含,1994～迄今,改革,1994～迄今,include
反均等化,是因為,中央政府財政收入大幅減少,反均等化,國家的終結,triggered-by
中央政府財政收入大幅減少,導致,政府退縮,國家的終結,政府退縮,triggered-by
政府退縮,導致,減少支出,政府退縮,減少支出,triggered-by
反均等化,是因為,中央－地方博弈後制度設計,反均等化,意義,triggered-by
制度設計,包含,稅收返還,制度設計,稅收返還,include
制度設計,包含,專項轉移支付,制度設計,注意,include
中國大陸,提出,一帶一路,中國大陸,一帶一路,depends-on
一帶一路,顯明,中國大陸,一帶一路,中國大陸,related-to
中國大陸,重塑,區域制度,中國大陸,本地區,changed-by
一帶一路,產生,重大衝擊,一帶一路,重大衝擊,Created-by
制度重塑,過程,全球權力競爭,制度重塑,全球化競爭,depends-on
國際制度創建,關係,霸權領導地位,國際制度創建,霸權領導地位,related-to
中國大陸,介紹,一帶一路背景,中國大陸,一帶一路背景,related-to
中國大陸,變化,角色,中國大陸,角色,changed-by
美國,競爭,中國大陸,美國,中國大陸,affect
一帶一路,觸發,軟性霸權競逐,一帶一路,軟性霸權競逐,affect
軟性霸權競逐,涉及,全球制度領導權,軟性霸權競逐,領袖,related-to
財政誘因,詮釋,投資行為,財政誘因,投資機率,related-to
地方政府,追求,稅收,地方政府,稅收,depends-on
地方政府,追求,預算極大化,地方政府,預算極大化,depends-on
財政誘因,是,原因,財政誘因,原因,related-to
財政分權改革,衍生,稅收制度安排,改革,規劃,triggered-by
稅收制度安排,包括,稅率,規劃,稅率,include
稅收制度安排,包括,稅種,規劃,稅種,include
稅收制度安排,包括,稅收管理,規劃,稅收,include
地方政府,可獲得,收益來源,地方政府,收益來源,requires
財政收益,最大化,地方政府,財政支出,地方政府,depends-on
地方政府,追求,最大化,地方政府,最大化,depends-on
地方政府,偏向,投資,地方政府,投資,related-to
投資,帶來,財政收入,投資,財政支出,triggered-by
地方政府,投資,加工製造業,地方政府,運作,dependso
地方政府,積極投資,基礎設施,地方政府,基礎設施,related-to
第一階段,包括,1978-1993,第一階段,1979~1993,include
第二階段,包括,1994-迄今,第二部分,1994～迄今,include
中國大陸城鎮社區,對於,外來人員,中國大陸城市,外商,related-to
外來人員,在,生活便利,外商,生活便利,located-in
外來人員,在,就業威脅,外商,就業威脅,located-in
外來人員,在,公共服務壓力,外商,公共服務壓力,located-in
數據資料,來自,2007年中國家庭收入調查,數據資料,1957年,located-in
數據資料,來自,城鎮社區問卷結果,數據資料,身分,located-in
實證模型,採用,Ordered Probit模型,明顯,理念,decided-by
實證結果,發現,城鎮社區,明顯,城鎮居民,related-to
就業威脅感受,受到,社區所處城市之人口密度,方法,消費者決策,triggered-by
就業威脅感受,受到,外來人員在當地就業之聚集程度,方法,社會,triggered-by
城市,人口密度,越高,都市,越高,related-to
外來人員,聚集,同一企業工作,外商,能力,related-to
社區,感受,就業威脅,社區,就業威脅,affect
人口密度變數,加深,城鎮居民觀感,變數,身分,affect
公共服務壓力,造成,當地觀感,公共服務壓力,當地觀感,triggered-by
社區,外地人員比重,越高,社區,越高, part-of
當地居民,感受,公共服務壓力,當地居民,公共服務壓力,affect
社區,中,外來人員,社區,外商,located-in
外來人員,與,城鎮居民,外商,城鎮居民,related-to
往來,越密切,生活便利,往來,生活便利,related-to
城鎮社區,感受到,生活便利之幫助,城鎮居民,施行,affect
福山,提出,歷史的終結,福山,國家的終結,depends-on
歷史,告訴,我們,歷史,我者,depends-on
西方式現代化的發展途程,受到,挑戰,作用,挑戰,triggered-by
兼顧經濟成長與政治穩定的中國模式,引起,關注,能力,注意,triggered-by
中國國力,增長,發展模式,中方,發展策略,increased-by
發展模式,具有,吸引力,發展策略,吸引力,include
中國,分析,經濟與政治轉型,中方,特性,affect
中國大陸,房地產市場景氣波動,家戶所得結構,中國大陸,營運, related-to
房地產市場景氣波動,影響,中國人民經濟機會不平等,空間不均衡,依據,affect
資料,為,2000年至2011年之中國省級追蹤資料,資訊,能力,triggered-by
估計方法,為,動態追蹤資料模型,估價方法,能力,triggered-by
房地產市場景氣攀升,帶動,中國城鎮家戶之財產與投資所得上升,空間不均衡,理念,triggered-by
財產與投資所得上升,大於,薪資與經營所得之上升,作用,能力,not requires
經濟機會,傾向於,富有階級,經濟表現,富有階級,related-to
房地產市場景氣攀升,帶動,中國農村家戶之薪資與經營所得上升,空間不均衡,衝突,triggered-by
薪資與經營所得上升,大於,財產與投資所得上升,剖析,作用,not requires
房地產市場景氣攀升,創造,經濟機會均等,空間不均衡,經濟較富裕,Created-by
東南亞國家協會,宣布,自由貿易區,東南亞國家協會,自由,decided-by
東協,成立,自由貿易區,東協,自由,Created-by
日本,為,東協主要的投資國家,日本,特徵,triggered-by
東協,為,市場競爭者,東協,市場競爭,triggered-by
內環境,指,東協體制內成員國,內環境,行動,related-to
外環境,包括,東協及日本、中國大陸等國,外商,現狀,include
ASEAN Way,下,東協,能力,東協,not located-in
東協,建構,經濟合作組織,東協,準金融機構,Created-by
日本,有,美日安保聯盟,日本,美日安保條約,depends-on
美國,干預,經濟事務,美國,經濟資料,affect
中國大陸,有,經濟掘起,中國大陸,經濟掘起,depends-on
中國大陸,取代,日本,中國大陸,日本,changed-by
都市,促成,東協,都市,東協,triggered-by
東協,採取,修正型ASEAN Way式的區域主義,東協,能力,decided-by
大多數國家,挑戰,制度接軌,大多數國家,制度接軌,affect
建制過程,有機會,參與規範,建制過程,利益,related-to
大多數國家,無置喙,規範制定,大多數國家,規範,not-decided-by
是否掌握,差別,競爭優勢,是否掌握,競爭,related-to
制度規範,主導者,競爭優勢者,規範,競爭,decided-by
大多數國家,面對,考驗,大多數國家,考驗,affect
制度架構,融入,全球化建制,管轄,觀點,related-to
平衡問題,牽涉,國內政治,平衡問題,國內政治,related-to
平衡問題,牽涉,經濟,平衡問題,經濟,related-to
衝突,在,社會主義轉型經濟體,衝突,種族,located-in
中國,面對,制度接軌,中方,制度接軌,affect
中國,保有,國家效能,中方,國家效能,related-to
中國,面對,全球化市場,中方,全球化市場,affect
中國,摸索前進,國家與市場拉距,中方,作為,not-related-to
2002年,完成,入世手續,2002年,入世手續, related-to
2002年,納入,全球化市場經濟建制,2002年,市場與經濟,include
中國,調整,制度,中方,機制,changed-by
中國,接受,考驗,中方,考驗,affect
資訊化發展,面臨,制度接軌問題,國際化發展,意義,depends-on
中國,面臨,挑戰,中方,挑戰,depends-on
中國,針對,中國電信體制,中方,經濟運作中,affect
中國電信體制,接軌,全球化,經濟運作中,全球化,related-to
網際網路發展,接軌,全球化,網路,全球化,related-to
資訊化決策層級,提升,接軌全球化,為例,觀點,affect
入世,影響,中國資訊化社會發展,入世,反應,affect
中國資訊化發展,探討,制度接軌問題,發展中國家,意義,affect
二十世紀末,發展,世界高等教育,世紀,世界高等教育,affect
世界高等教育,發展,日新月異,世界高等教育,日新月異,affect
傳統的國家角色研究途徑,不敷使用,二十世紀末,運作,世紀,not-increased-by
Burton Clark,建構,國家、市場、學術寡頭的三角協調關係圖,特徵,能力,Created-by
三角協調關係圖,成為,經典架構,能力,經典論述,is-a
研究者,探討,高等教育制度變遷的過程,科研,能力,affect
高等教育,擴張,二十世紀末,高等教育,世紀,increased-by
高等教育,轉向,中、西文化特質差異的比較,高等教育,企業,changed-by
高等教育,轉向,國際化,高等教育,國際化,changed-by
高等教育,轉向,市場化,高等教育,市場,changed-by
